Prioridad,Requisitos,Puntos de historia/Talla,Comprobación
1,Añadir item de la lista,-,Se ha añadido un item a la lista con sus atributos
1,Marcar/desmarcar item como comprado,1,Todos los del grupo ven el nuevo estado del producto
1,Añadir usuario a grupo,2,Se ha añadido un usuario existente a un grupo
1,Ver y acceder a todas las listas (abiertas y cerradas),3,Se ven todas las listas y 
1,Ver miembros del grupo,3,Se listan todos los miembros del grupo
1,Mecanismos de seguridad,-,Impedir inyecciones de código (sql y xss)
3,Editar item,2,Se ha modificado el valor de los atributos de item
5,Borrar lista,1,Elimina la lista del grupo
5,Cerrar la lista,2,Si todo esta comprado se cierra la lista
5,Usuario abandonar grupo,1,El usuario deja de formar parte del grupo
5,Cerrar lista manualmente,1,"Cierra la lista al pulsar el botón de ""Cerrar Lista"""
5,Borrar usuario de grupo,1,El usuario deja de formar parte del grupo
5,Borrar grupo,2,El grupo es eliminado y todas las listas del mismo
9,Configuración cuenta,2,"Cambiar contraseña, e-mail, nombre, foto… y acceder al sistema con los nuevos datos"
9,Invitar a gente por e-mail,5,Han recibido el e-mail
9,Plantillas de listas,13,"Crear, editar y utilizar plantillas de listas de productos"
9,Búsquedas en listas,XXXL,"Búsqueda por fecha, producto"
9,Asignación de productos a usuarios,XXXL,
9,Sincronización,XXL,
9,Estética atráctiva ,XL,
14,Anotar y comparar históricamente precios de mis listas,XXL,
15,Gamificación,XXXL,
