Código,Entrada pila producto,Prioridad cliente,Tareas,Ciclo de vida,Responsable,Fecha de finalización,Estimaciones,Esfuerzo total,Comentarios
39,Añadir item de la lista,1,Corregir Comentarios,2,Marta,06/11/2013,0:30,0:30,
40,Seguridad,1,Controlar entrada,2,Ricardo,/11/2013,7:00,,
41,Seguridad,1,Control de accesos,2,Álvaro,/11/2013,4:30,,
42,Seguridad,1,Pruebas,2,Ricardo,/11/2013,4:30,,
43,Ver y acceder a todas las listas (abiertas y cerradas),1,Diseño Intefaz usuario,2,Álvaro,/11/2013,1:00,,
44,Ver y acceder a todas las listas (abiertas y cerradas),1,Conexión Ajax/PHP,2,Álvaro,/11/2013,3:00,,
45,Ver y acceder a todas las listas (abiertas y cerradas),1,Pruebas,2,Álvaro,/11/2013,2:30,,
46,Marcar/desmarcar item como comprado,1,Diseño Intefaz usuario,2,Marta,/11/2013,1:00,,
47,Marcar/desmarcar item como comprado,1,Conexión Ajax/PHP,2,Marta,/11/2013,1:30,,
48,Marcar/desmarcar item como comprado,1,Pruebas,2,Marta,/11/2013,1:30,,
49,Añadir usuario a grupo,1,Diseño Intefaz usuario,2,Claudiu,/11/2013,1:00,,
50,Añadir usuario a grupo,1,Conexión Ajax/PHP,2,Claudiu,/11/2013,1:00,,
51,Añadir usuario a grupo,1,Pruebas,2,Claudiu,/11/2013,1:00,,
52,Ver miembros del grupo,1,Diseño Intefaz usuario,2,Claudiu,/11/2013,2:00,,
53,Ver miembros del grupo,1,Conexión Ajax/PHP,2,Claudiu,/11/2013,1:00,,
54,Ver miembros del grupo,1,Pruebas,2,Claudiu,/11/2013,1:30,,
55,Documentación del ciclo,1,Documentación,2,Álvaro,/11/2013,5:00,,
56,Editar item,3,Diseño Intefaz usuario,2,Marta,/11/2013,1:00,,
57,Editar item,3,Conexión Ajax/PHP,2,Marta,/11/2013,2:00,,
58,Editar item,3,Pruebas,2,Marta,/11/2013,2:00,,
59,Borrar lista,5,Diseño Intefaz usuario,2,Lukas,/11/2013,1:30,,
60,Borrar lista,5,Conexión Ajax/PHP,2,Lukas,/11/2013,1:00,,
61,Borrar lista,5,Pruebas,2,Lukas,/11/2013,1:30,,
62,Cerrar la lista,5,Conexión Ajax/PHP,2,Lukas,/11/2013,1:00,,
63,Cerrar la lista,5,Pruebas,2,Lukas,/11/2013,1:30,,
64,Borrar usuario de grupo (Administrador),5,Diseño Intefaz usuario,2,Claudiu,/11/2013,1:00,,
65,Borrar usuario de grupo (Administrador),5,Conexión Ajax/PHP,2,Claudiu,/11/2013,1:00,,
66,Borrar usuario de grupo (Administrador),5,Pruebas,2,Claudiu,/11/2013,1:00,,
67,Borrar grupo (Administrador),5,Diseño Intefaz usuario,2,Claudiu,/11/2013,1:30,,
68,Borrar grupo (Administrador),5,Conexión Ajax/PHP,2,Claudiu,/11/2013,1:00,,
69,Borrar grupo (Administrador),5,Pruebas,2,Claudiu,/11/2013,1:00,,
70,Usuario abandonar grupo,5,Diseño Intefaz usuario,2,Lukas,/11/2013,1:30,,
71,Usuario abandonar grupo,5,Conexión Ajax/PHP,2,Lukas,/11/2013,1:00,,
72,Usuario abandonar grupo,5,Pruebas,2,Lukas,/11/2013,1:00,,
73,Cerrar lista manualmente,5,Diseño Intefaz usuario,2,Marta,/11/2013,1:30,,
74,Cerrar lista manualmente,5,Conexión Ajax/PHP,2,Marta,/11/2013,1:30,,
75,Cerrar lista manualmente,5,Pruebas,2,Álvaro,/11/2013,1:00,,
76,Configuración cuenta usuario,9,Diseño Intefaz usuario,2,Ricardo,/11/2013,1:30,,
77,Configuración cuenta usuario,9,Conexión Ajax/PHP,2,Ricardo,/11/2013,2:00,,
78,Configuración cuenta usuario,9,Pruebas,2,Ricardo,/11/2013,2:30,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Talla ,Estimaciones,Real,Desviacion,,,,,,
